APPN UQ Equity,Appian Corp
APPS UR Equity,Digital Turbine Inc
APRE UW Equity,Aprea Therapeutics Inc
APT UA Equity,Alpha Pro Tech Ltd
APTI UQ Equity,Apptio Inc
APTS UA Equity,Preferred Apartment Communities Inc
APTS UN Equity,Preferred Apartment Communities Inc
APTV UN Equity,Aptiv PLC
APTX UW Equity,Aptinyx Inc
APVO UW Equity,Aptevo Therapeutics Inc
APYX UW Equity,Apyx Medical Corp
AQ UN Equity,Aquantia Corp
AQB UR Equity,AquaBounty Technologies Inc
AQMS UR Equity,Aqua Metals Inc
AQST UQ Equity,Aquestive Therapeutics Inc
AQUA UN Equity,Evoqua Water Technologies Corp
AR UN Equity,Antero Resources Corp
ARA UN Equity,American Renal Associates Holdings Inc
ARAV UW Equity,Aravive Inc
ARAY UW Equity,Accuray Inc
ARC UN Equity,ARC Document Solutions Inc
ARCB UW Equity,ArcBest Corp
ARCH UN Equity,Arch Resources Inc
ARCT UQ Equity,Arcturus Therapeutics Holdings Inc
ARCW UR Equity,ARC Group Worldwide Inc
ARD UN Equity,Ardagh Group SA
ARDX UQ Equity,Ardelyx Inc
ARE UN Equity,Alexandria Real Estate Equities Inc
ARES UN Equity,Ares Management Corp
AREXQ UW Equity,Approach Resources Inc
ARG UN Equity,Airgas Inc
ARGO UN Equity,Argo Group International Holdings Ltd
ARGO UW Equity,Argo Group International Holdings Ltd
ARGSQ UQ Equity,Argos Therapeutics Inc
ARI UN Equity,Apollo Commercial Real Estate Finance In
ARIA UW Equity,ARIAD Pharmaceuticals Inc
ARII UW Equity,American Railcar Industries Inc
ARL UN Equity,American Realty Investors Inc
ARLO UN Equity,Arlo Technologies Inc
ARLZQ UW Equity,Aralez Pharmaceuticals Inc
ARMK UN Equity,Aramark
ARMO UW Equity,ARMO BioSciences Inc
ARNA UW Equity,Arena Pharmaceuticals Inc
ARNC UN Equity,Arconic Corp
AROC UN Equity,Archrock Inc
AROPQ UN Equity,ARO Liquidation Inc
AROW UW Equity,Arrow Financial Corp
ARPI UN Equity,American Residential Properties Inc
ARQL UQ Equity,ArQule Inc
ARQT UW Equity,Arcutis Biotherapeutics Inc
ARR UN Equity,ARMOUR Residential REIT Inc
ARRS UW Equity,ARRIS International PLC
ARRY UQ Equity,Array BioPharma Inc
ARTNA UW Equity,Artesian Resources Corp
ARUN UW Equity,Aruba Networks Inc
ARVN UW Equity,Arvinas Inc
ARW UN Equity,Arrow Electronics Inc
ARWR UW Equity,Arrowhead Pharmaceuticals Inc
ASB UN Equity,Associated Banc-Corp
ASBB UQ Equity,ASB Bancorp Inc
ASC UN Equity,Ardmore Shipping Corp
ASCMA UW Equity,Ascent Capital Group Inc
ASEI UW Equity,American Science and Engineering Inc
ASGN UN Equity,ASGN Inc
ASH UN Equity,Ashland Global Holdings Inc
ASIX UN Equity,AdvanSix Inc
ASMB UR Equity,Assembly Biosciences Inc
ASMB UW Equity,Assembly Biosciences Inc
ASNA UW Equity,Ascena Retail Group Inc
ASPN UN Equity,Aspen Aerogels Inc
ASPS UW Equity,Altisource Portfolio Solutions SA
ASPU UQ Equity,Aspen Group Inc/CO
ASPX UQ Equity,Auspex Pharmaceuticals Inc
AST UA Equity,Asterias Biotherapeutics Inc
ASTE UW Equity,Astec Industries Inc
ASUR UR Equity,Asure Software Inc
AT UN Equity,Atlantic Power Corp
ATEC UW Equity,Alphatec Holdings Inc
ATEN UN Equity,A10 Networks Inc
ATEX UR Equity,Anterix Inc
ATGE UN Equity,Adtalem Global Education Inc
ATH UN Equity,Athene Holding Ltd
ATHN UW Equity,athenahealth Inc
ATHX UR Equity,Athersys Inc
ATI UN Equity,Allegheny Technologies Inc
ATKR UN Equity,Atkore International Group Inc
ATLC UW Equity,Atlanticus Holdings Corp
ATLO UR Equity,Ames National Corp
ATML UW Equity,Atmel Corp
ATNI UW Equity,ATN International Inc
ATNM UA Equity,Actinium Pharmaceuticals Inc
ATNX UW Equity,Athenex Inc
ATO UN Equity,Atmos Energy Corp
ATOM UR Equity,Atomera Inc
ATR UN Equity,AptarGroup Inc
ATRA UW Equity,Atara Biotherapeutics Inc
ATRC UQ Equity,AtriCure Inc
ATRI UW Equity,Atrion Corp
ATRO UW Equity,Astronics Corp
